date,currency_code,rate
2002-02-05,ATS,0.2647
2002-02-05,BEF,0.090288
2002-02-05,CZK,0.1143
2002-02-05,DKK,0.4903
2002-02-05,EEK,0.2328
2002-02-05,FIM,0.6126
2002-02-05,FRF,0.5552
2002-02-05,GRD,0.010689
2002-02-05,ESP,0.02189
2002-02-05,EUR,3.6422
2002-02-05,IEP,4.6246
2002-02-05,JPY,0.031577
2002-02-05,CAD,2.6243
2002-02-05,LUF,0.090288
2002-02-05,NOK,0.463
2002-02-05,PTE,0.018167
2002-02-05,EUR,3.6422
2002-02-05,USD,4.1885
2002-02-05,CHF,2.4686
2002-02-05,SEK,0.3941
2002-02-05,HUF,0.014915
2002-02-05,GBP,5.9567
2002-02-05,ITL,0.001881
2002-02-05,EUR,3.6422
2002-02-05,XDR,5.2321
2002-02-06,AUD,2.1351
2002-02-06,ATS,0.2649
2002-02-06,BEF,0.09036
2002-02-06,CZK,0.1143
2002-02-06,DKK,0.4907
2002-02-06,EEK,0.233
2002-02-06,FIM,0.6131
2002-02-06,FRF,0.5557
2002-02-06,GRD,0.010697
2002-02-06,ESP,0.021907
2002-02-06,EUR,3.6451
2002-02-06,IEP,4.6283
2002-02-06,JPY,0.031453
2002-02-06,CAD,2.6262
2002-02-06,LUF,0.09036
2002-02-06,NOK,0.4649
2002-02-06,PTE,0.018182
2002-02-06,EUR,3.6451
2002-02-06,USD,4.2062
2002-02-06,CHF,2.4751
2002-02-06,SEK,0.3951
2002-02-06,HUF,0.014942
2002-02-06,GBP,5.9478
2002-02-06,ITL,0.001883
2002-02-06,EUR,3.6451
2002-02-06,XDR,5.2283
2002-02-07,AUD,2.1646
2002-02-07,ATS,0.2687
2002-02-07,BEF,0.091656
2002-02-07,CZK,0.116
2002-02-07,DKK,0.4978
2002-02-07,EEK,0.2363
2002-02-07,FIM,0.6219
2002-02-07,FRF,0.5637
2002-02-07,GRD,0.010851
2002-02-07,ESP,0.022222
2002-02-07,EUR,3.6974
2002-02-07,IEP,4.6947
2002-02-07,JPY,0.031914
2002-02-07,CAD,2.653
2002-02-07,LUF,0.091656
2002-02-07,NOK,0.4732
2002-02-07,PTE,0.018443
2002-02-07,EUR,3.6974
2002-02-07,USD,4.2628
2002-02-07,CHF,2.5114
2002-02-07,SEK,0.4008
2002-02-07,HUF,0.015074
2002-02-07,GBP,6.0106
2002-02-07,ITL,0.00191
2002-02-07,EUR,3.6974
2002-02-07,XDR,5.3052
2002-02-08,AUD,2.162
2002-02-08,ATS,0.2679
2002-02-08,BEF,0.091393
2002-02-08,CZK,0.116
2002-02-08,DKK,0.4963
2002-02-08,EEK,0.2356
2002-02-08,FIM,0.6201
2002-02-08,FRF,0.562
2002-02-08,GRD,0.01082
2002-02-08,ESP,0.022158
2002-02-08,EUR,3.6868
2002-02-08,IEP,4.6813
2002-02-08,JPY,0.031541
2002-02-08,CAD,2.6386
2002-02-08,LUF,0.091393
2002-02-08,NOK,0.4708
2002-02-08,PTE,0.01839
2002-02-08,EUR,3.6868
2002-02-08,USD,4.2247
2002-02-08,CHF,2.5056
2002-02-08,SEK,0.3986
2002-02-08,HUF,0.01511
2002-02-08,GBP,5.9652
2002-02-08,ITL,0.001904
2002-02-08,EUR,3.6868
2002-02-08,XDR,5.2842
2002-02-11,AUD,2.1477
2002-02-11,ATS,0.2657
2002-02-11,BEF,0.09064
